GFTernary|527|0| 80.43 82.93 85.15 84.51 80.31
binary32|536|0| 76.23 79.00 77.59 73.75 75.61
binary16|586|0| 58.34 62.77 61.94 57.72 60.90
GF10|597|0| 71.90 70.96 67.68 71.55 69.23
GF14|651|0| 69.91 63.10 71.49 67.16 74.24
fp8 e4m3|549|0| 62.19 68.47 63.58 68.30 72.60
fp8 e5m2|544|0| 63.56 68.13 66.05 66.09 63.65
minifloat|622|0| 66.87 62.79 70.42 66.83 68.68
BNF16|635|0| 65.68 67.57 66.44 61.03 64.13
TNF16|629|0| 62.64 67.38 64.17 61.06 63.22
TNF8|609|0| 66.93 65.08 62.95 66.77 62.59
TNF32|569|0| 70.71 65.27 66.91 69.38 64.68
TNF64|572|0| 65.38 65.51 60.71 61.56 69.44
VAX F|624|0| 60.18 57.79 62.38 58.75 58.50
IBM hex32|1072|0| 31.86 31.72 31.30 29.27 29.37
posit8|614|0| 44.71 47.20 43.74 43.93 47.50
posit16|731|0| 36.29 34.12 34.53 35.43 35.72
posit32|1031|0| 32.28 31.18 30.00 32.39 30.43
LNS16|722|0| 41.94 42.71 43.15 43.34 43.25
takum16|853|57| 61.99 59.31 57.72 63.59 58.15
GF+8|692|0| 62.25 61.06 64.44 59.94 57.51
DONE
