GFTernary|463|0| 81.97 87.57 83.13 83.19 88.58
binary32|472|0| 79.87 79.99 73.62 74.73 77.00
binary16|522|0| 57.81 63.30 65.55 65.11 61.76
GF10|533|0| 71.66 72.94 72.85 67.86 72.16
GF14|587|0| 72.21 69.31 71.15 70.28 73.85
fp8 e4m3|485|0| 65.10 64.33 69.10 67.02 71.11
fp8 e5m2|480|0| 65.58 67.34 69.86 64.40 67.06
minifloat|558|0| 68.23 69.49 65.58 64.00 67.06
BNF16|571|0| 68.91 67.13 65.99 69.29 67.06
TNF16|565|0| 66.15 71.48 62.92 66.67 66.28
TNF8|545|0| 62.98 61.35 59.35 62.87 62.13
TNF32|505|0| 62.36 67.58 64.36 65.46 62.31
TNF64|506|0| 66.59 61.98 67.28 67.30 64.24
VAX F|560|0| 58.94 59.08 62.22 62.65 61.38
IBM hex32|1008|0| 29.94 31.47 30.07 30.82 31.26
posit8|550|0| 46.15 43.78 46.74 44.68 44.20
posit16|667|0| 37.67 36.04 37.64 36.75 36.23
posit32|967|0| 29.21 28.73 29.55 30.63 30.69
LNS16|658|0| 42.83 43.18 43.04 43.21 42.76
takum16|789|57| 58.96 58.27 62.42 57.59 63.34
GF+8|628|0| 62.57 63.05 62.18 63.26 63.08
DONE
