name,target,computed,error_pct,n,k,m,p,q,category
Top quark (GeV),172.7600000000,172.7223990000,0.021800,5,1,0,3,1,particle_physics
Bottom quark (GeV),4.1830000000,4.1822180000,0.018700,8,2,-2,3,-2,particle_physics
Kaon+ mass (MeV),493.6770000000,493.4953420000,0.036800,8,2,0,4,0,particle_physics
sin2_eff leptonic,0.2315300000,0.2314890000,0.017900,1,-1,-2,4,0,particle_physics
Conway constant,1.3035772000,1.3034620000,0.008800,4,1,-1,4,-3,mathematical
Bernstein constant,0.2801694000,0.2801650000,0.001600,1,-2,0,4,-1,mathematical
Euler-Mascheroni gamma,0.5772157000,0.5773450000,0.022400,7,-1,-3,-2,3,mathematical
Landau-Ramanujan K,0.7642362000,0.7643860000,0.019600,4,-1,0,3,-2,mathematical
Magic number 20,20.0000000000,20.0003060000,0.001500,8,1,-1,2,0,nuclear_magic
Magic number 28,28.0000000000,28.0007010000,0.002500,8,1,-2,3,1,nuclear_magic
Magic number 50,50.0000000000,50.0015320000,0.003100,8,2,-2,4,0,nuclear_magic
Magic number 82,82.0000000000,81.9972100000,0.003400,4,4,1,1,-3,nuclear_magic
Magic number 126,126.0000000000,126.0031530000,0.002500,4,3,-2,3,1,nuclear_magic
BCS gap 2D/kTc,3.5280000000,3.5282820000,0.008000,4,-6,4,6,-1,condensed
Bohr magneton (x10^-24 J/T),9.2740000000,9.2742350000,0.002500,8,-3,0,3,2,condensed
Nuclear magneton (x10^-27 J/T),5.0508000000,5.0508910000,0.001800,1,-3,3,1,1,condensed
Sphere packing D3,0.7405000000,0.7404660000,0.004600,2,3,-2,0,-2,mathematical
von Klitzing (x10^3 ohm),25.8130000000,25.8172370000,0.016400,8,5,-3,-6,2,condensed
